rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-999-org,   usa, f, 21, 19960208, , ella, french, vic, warrenheip, 3431, 27, calder crescent, phoenix park stud, 8 14625237, 8770928, 6, NoRole
rec-645-org,   eng, f, 32, 19851024, ms, chloe, pemberton, vic, catani, 3101, 77, cobbett place, kianinny cabins, 8 78840649, 6252596, 8, NoRole
rec-784-org,   rom, f, 9, 20080205, ms, jack, cojocaru, qld, wongawallan, 2165, 15, eyre street, the avenues, 613 27843260, 7645500, 7, NoRole
rec-985-org,   ser, , 37, 19800619, ms, zali, gligorijevic, sa, port neill, 2450, 170, french street, wemyss, 07 85651922, 7405220, 0, NoRole
rec-444-org,   ser, f, 28, 19891103, , michael, adamovic, , blakehurst, 2160, 73, companion crescent, salmaldo caravan park, 08 19639941, 8999099, 1, NoRole
rec-334-org,   eng, , 28, 19890918, , shandril, , vic, nunawading, 2144, 1, saggers close, , 8 52354214, 4277742, 9, NoRole
rec-338-org,   unk, , 30, 19870311, , benjamin, aaron, sa, ringwood east, 2795, 19, fullagar crescent, unfaan, 617 70024386, 8903156, 7, NoRole
rec-93-org,   nor, m, , 19151210, dr, james, prydz, qld, linden, 3226, 5, sullivan crescent, , 03 58445675, 4229801, 8, NoRole
rec-607-org,   usa, f, 33, 19840407, , connor, austin, nsw, kerrabee, 2529, 38, bayley street, braimer garden, 2 09419607, 4659010, 2, NoRole
rec-890-org,   usa, f, 20, 19970531, , , whitley, vic, lerderderg, , 15, bennetts close, old post office, 04 34817799, 7646046, 0, NoRole
rec-108-org,   usa, f, , 19521004, mr, david, frost, nsw, paxton, 5086, 28, fergusson crescent, riley house, 612 17855418, 5789387, 5, NoRole
rec-408-org,   eng, f, , 19800716, ms, nikki, danniel, vic, kalkallo, 5063, 7, julia flynn avenue, birrabilla, 08 44005538, 1975862, 2, NoRole
rec-726-org,   unk, f, 19, 19981008, mr, kieran, abat, vic, matlock, 5165, 58, easterbrook place, glenmore, 08 69435931, 5299602, 3, NoRole
rec-870-org,   usa, f, 36, 19810216, , joel, glover, wa, etmilyn, 2594, 21, henry street, , 8 69742038, 9548442, 8, NoRole
rec-688-org,   ser, m, , 19140228, ms, thomas, brychta, , leeton, 4021, 1, grampians street, kokoda hostel, 02 37021358, 9406380, 3, NoRole
rec-960-org,   unk, f, 36, 19810221, mr, thomas, abbetmeyer, qld, woodgate, 2203, 1, tipping place, , 08 91910197, 2546347, 9, NoRole
rec-322-org,   , m, 22, 19950922, , henry, beattie, nsw, granville, 5250, 29, jardine street, oberne park, 2 00550088, 7587791, 9, NoRole
rec-82-org,   abo, f, , 19331023, mr, madison, yunipingu, , clothiers creek, 2321, 2, lambell close, tulloch, 03 72405688, 8207699, 8, NoRole
rec-977-org,   usa, m, , , , teaha, george, vic, bandiana milpo, 3020, 10, mailey retreat, narek, 8 73990759, 9373340, 9, NoRole
rec-731-org,   usa, f, 27, 19900608, , raquel, tillman, , leongatha, 2197, , emily bulcock crescent, milton, 02 14929165, 5463602, 8, NoRole
rec-69-org,   pak, m, 27, 19900219, ms, kaleb, gheba, nsw, maryville, 4220, 58, angophora street, , 612 56698549, 3142787, 7, NoRole
rec-279-org,   usa, f, 28, 19890723, ms, lachlan, craig, vic, arnold, 3078, 32, paloona place, , 618 00705234, 2446262, 1, NoRole
rec-301-org,   unk, f, , 19960819, mr, brinley, scofield, wa, yerecoin, 2093, 24, maclachlan street, , 8 97992227, 7906505, 7, NoRole
rec-517-org,   ser, f, 9, 20081013, ms, michael, milatovic, vic, churchill, 3058, 93, jennings street, , 03 22766361, 9397571, 0, NoRole
rec-216-org,   tur, f, 26, 19911118, , harrison, cagman, nsw, winmalee, 5006, 89, starling place, old cob, 612 79432431, 4873898, 8, NoRole
rec-934-org,   unk, , 11, 20061024, , stirling, scjum, vic, longlea, 4051, 24, kett street, , 8 37089244, 2453199, 4, NoRole
rec-260-org,   eng, m, , 19010402, , naomi, dennel, vic, bossley park, 4680, 7, cassia place, banksia springs, 618 99788129, 9312792, 9, NoRole
rec-423-dup-4, ind, m, , 19330521, , deakkin, , sta, ul pai, 4725, 14, learmonth drive, , 07 92424515, 9444448, 0, NoRole
rec-282-org,   eng, , 29, 19880718, , john-paul, clarkson, nsw, jesmond, 5163, 17, de little circuit, oriel, 612 12374317, 9638636, 6, NoRole
rec-648-org,   usa, , 38, 19790924, , tarshya, lindsay, qld, the gums, 2015, 2, sheehan street, , 613 43061500, 2167150, 3, NoRole
rec-21-org,   tha, f, 28, 19890208, , holly, ayudhya, , greensborough, 5062, 13, lucy gullett circuit, ra 58, 02 92394278, 3869807, 9, NoRole
rec-729-org,   usa, f, 21, 19961021, mr, callie, stephenson, nsw, hornsby, 2085, 52, dundas court, , 612 18960428, 9301877, 2, NoRole
rec-932-org,   , m, , 19240427, , zachary, ryan, nsw, liverpool south, 2224, 39, elizabeth crescent, kames, 02 41637075, 5562983, 5, NoRole
rec-725-org,   usa, f, 39, 19780701, mr, ella, wiggins, vic, reedy creek, 2233, 18, mccullock place, emerald garden, 08 62380034, 3860537, 7, NoRole
rec-972-org,   unk, f, 34, 19830505, ms, lucas, strahn, tas, newstead, 4558, 30, mckenzie street, , 04 97852582, 3930737, 0, NoRole
rec-63-org,   tur, f, 32, 19850714, dr, isabella, ktchk, nsw, wandsworth, 2582, 5, hickson place, annecy park, 2 99189762, 5382896, 4, NoRole
rec-300-org,   usa, f, 30, 19871022, , louis, santiago, vic, toora, 3458, 260, fallins place, , 08 39127992, 9119911, 3, NoRole
rec-981-org,   unk, , 10, 20071214, , , aani, nsw, central macdonald, 4305, 1, curnow place, el pedro caravan park, 612 40485234, 5256917, 1, NoRole
rec-270-org,   ind, f, 9, 20080226, ms, bailey, surapaneni, vic, yundool, 3620, 21, crisp circuit, jandarra, 8 46756173, 5406872, 3, NoRole
rec-535-org,   usa, f, 21, 19960512, , noah, meadows, nsw, collarenebri, 6701, 3, sexton street, millridge, 612 78842873, 5044700, 3, NoRole
rec-353-org,   usa, , 41, 19761119, , byron, ramsey, wa, boddington, 2312, 3, laughton street, , 07 89390192, 5270618, 2, NoRole
rec-666-org,   rom, m, 32, 19850704, ms, isabella, ilionescu, qld, helidon, 3055, 121, de chair street, ardrossan, , 9036994, 7, NoRole
rec-447-org,   hun, m, 29, 19880531, , claudia, pongratz, nsw, lake illawarra, 2575, 27, badimara street, rosetta village, 02 18870460, 1671205, 0, NoRole
rec-12-org,   ser, , 7, 20100930, mr, jackson, buzolic, wa, nangeenan, 6232, 9, inkster street, villa 5 moline village, 08 29819554, 6279560, 8, NoRole
rec-838-org,   eng, f, 22, 19950531, dr, konstantinos, hollands, nsw, curlwaa, 4060, 177, archdall street, , 02 54595223, 9778564, 2, NoRole
rec-489-dup-1, , , 29, 19881121, , kaysey, michelmore, tas, petcheys bay, 2602, 29, fullagarfescent, cranbrook, 07 63928994, 4254945, 7, NoRole
rec-902-org,   eng, m, 30, 19870715, , zoe, paulson, nt, noonamah, 2350, 41, barlee place, , 3 07825768, 8102950, 8, NoRole
rec-288-org,   usa, f, 33, 19840104, , zachary, bowman, vic, , , 46, lambell close, , 08 33496448, 9072276, 7, NoRole
rec-552-org,   ara, f, , 19501219, , emma, ammara, vic, woomelang, 2221, 5, cotton street, cranbrook, 618 78139842, 6191263, 8, NoRole
rec-578-org,   unk, f, 26, 19910103, dr, imogen, aarts, vic, great western, 2260, 54, lennard street, pacific haven, 8 76111697, 1842108, 2, NoRole
rec-114-org,   eng, f, , 19520422, dr, zakariah, anthonyson, vic, unanderra, 2262, 8, maranboy street, hi pine, 8 13581656, 7888710, 0, NoRole
rec-824-org,   afr, f, 23, 19940127, ms, bailey, asare, nsw, balldale, 2076, 42, longstaff street, tonga, 612 61604663, 9715803, 8, NoRole
rec-399-org,   usa, , 23, 19940326, ms, jacinta, hays, , villawood, 3266, 6, cheel place, rosedale, 03 63653075, 9433619, 8, NoRole
rec-251-dup-5, dan, f, 26, 19910121, , joshua, goldbaek, vkx, arthurs creek, 6065, 1402, augustuxmclose, , 8 35025808, 2756481, 1, NoRole
rec-245-dup-0, usa, f, 25, 19920302, dr, holly, n0rto , s a, rowland flat, 4702, 573, 9ardin r  treet, glen  ew, 7 31396908, 7472 21, 4, NoRole
rec-744-org,   fre, f, , , , ella, mouligne, nsw, douglas park, 2487, 399, nairn place, , 2 32110355, 5841540, 1, NoRole
rec-540-org,   tur, m, 31, 19860411, ms, sophie, tatlises, qld, mundubbera, 5118, 3, , cordial factory, , 1480474, 6, NoRole
rec-930-org,   eng, f, 32, 19850305, , paul, hutson, , newington, 3123, 22, bural court, , 02 61564043, 5372824, 6, NoRole
rec-160-org,   pol, m, , 19610926, , brooke, drugnowski, nsw, numinbah, 5153, 12, adamson crescent, , 2 87786402, 6690807, 0, NoRole
rec-530-org,   swe, f, , 19670902, dr, matthew, valberg, nsw, edderton, 6701, 72, namatjira drive, , 612 37345741, 8929444, 8, NoRole
rec-194-org,   eng, , 24, 19930426, hon, chloe, davison, wa, gibb, 2065, , chevalley loop, , 8 27026149, 4677299, 5, NoRole
rec-224-dup-1, , v, 24, 19931010, , alystsa, white, , kellyfille, 3140, 9, kouvaheuah sttreet, po-on, 07 90226561, 6312008, 4, NoRole
rec-116-org,   eng, f, 36, 19810223, ms, tara, moors, nsw, frenchs forest, 6230, 7, ebden street, , 03 95908105, 1984614, 1, NoRole
rec-200-org,   unk, f, 37, 19800110, , ella, aarts, sa, poochera, 4570, 5, bean crescent, , 617 45333545, 2294315, 4, NoRole
rec-556-org,   usa, f, 24, 19930317, , benjamin, lyons, vic, raywood, 3015, 5, rohan rivett crescent, carowood, 618 48592415, 6951970, 4, NoRole
rec-59-org,   eng, , , 19430805, , joshua, merchant, vic, chatsworth, 3940, 41, streeton drive, , 618 66845488, 3818293, 3, NoRole
rec-144-org,   spa, , 12, 20050316, , caleb, valero, vic, petersham, 4165, 278, beazley crescent, , 08 82915864, 4988215, 7, NoRole
rec-889-org,   chi, , 27, 19900211, ms, sophie, chau, qld, brassall, 3122, 16, spensley place, , 03 08960371, 6411324, 0, NoRole
rec-656-org,   eng, f, , 19671201, , mia, hilton, , murray bridge, 3148, 2, captain cook crescent, summer hill, 03 53746670, 4449550, 5, NoRole
rec-773-org,   usa, f, 33, 19840906, , jack, espinoza, vic, forest hill, 5018, 27, tanner place, , 8 60811148, 4658386, 8, NoRole
rec-412-org,   usa, m, 30, 19871212, mr, montana, ellis, vic, kialla east, 4271, 14, , , 618 44262375, 5217448, 6, NoRole
rec-9-org,   ara, f, 27, 19900620, , alexander, humera, wa, brookhampton, 3141, 14, , caravn park, 618 51246387, 3629092, 2, NoRole
rec-581-org,   usa, , 27, 19900703, ms, xanthe, wooten, qld, diamond valley, 2228, 66, woronora street, , 3 02874579, 5371648, 4, NoRole
rec-988-org,   eng, m, 35, 19820605, ms, ethan, mathaton, sa, aldinga beach, 2229, 9, darby street, springbanks, 7 82133029, 7645140, 1, NoRole
rec-330-org,   usa, f, , 19580504, pfc, teegan, hess, qld, beebo, 6070, 52, wettenhall circuit, , 613 19649914, 4993593, 2, NoRole
rec-205-org,   pak, f, , , ms, kydan, julaha, wa, busselton, 3355, 113, spalding street, , 08 59345672, 6416014, 5, NoRole
rec-228-org,   eng, , , 19380309, ms, tahlia, rutherfurd, wa, coblinine, 5043, 5, zox circuit, , 8 20165787, 1939191, 4, NoRole
rec-237-org,   , f, 24, 19931223, , kelsey, blake, nsw, whalan, 3156, 10, northmore crescent, briony downs, 2 36515402, 6371916, 2, NoRole
rec-608-org,   spa, m, 29, 19880404, ms, rhys, tafoya, nsw, pelton, 2000, 90, haddon street, , 612 15173823, 4523785, 8, NoRole
rec-964-org,   ind, f, , 19260805, , caitlin, mukti, vic, nyah west, 2212, 3, prell place, , 08 89074777, 4352057, 2, NoRole
rec-110-org,   eng, f, 42, 19750425, , michael, josephson, nsw, upper bowman, 4680, 12, , cordboba park, 02 83716993, 5544667, 8, NoRole
rec-664-org,   eng, f, 28, 19891108, , madelyn, snyders, vic, bellbrae, 6030, 2476, de little circuit, , 618 80137782, 6817170, 6, NoRole
rec-652-org,   ind, m, 33, 19840302, , riley, raghavendran, vic, st arnaud, 4854, 6, barwon street, elmwood, 8 02475101, 4328183, 8, NoRole
rec-827-org,   eng, , 21, 19960920, , nicholas, morce, nsw, cudgera creek, 4285, 29, altson circuit, marriott downs, 2 16721379, 8669064, 8, NoRole
rec-31-org,   usa, f, 31, 19860918, mr, sebastian, gill, qld, alexandra hills, 2162, 116, alexandria street, , 613 41939173, 3171124, 4, NoRole
rec-508-org,   eng, m, , 19110910, mr, karli, evanson, nsw, clovelly, 3175, 6, mckillop circuit, , 02 75501125, 4140026, 1, NoRole
rec-474-org,   pol, m, , 19350519, ms, emiily, borzykowski, vic, portland, 3630, 19, dexter street, eddington, 8 63772867, 9972914, 5, NoRole
rec-320-org,   eng, f, , 19900905, mr, anastasia, bernardson, nsw, yelgun, 2107, 28, bradfield street, , 612 77766933, 3833035, 0, NoRole
rec-531-org,   nor, f, 23, 19940221, ms, jasmine, sjØvold, nsw, surfers paradise, 2164, 32, keenan street, , 2 06615278, 7421860, 7, NoRole
rec-774-org,   cze, f, 39, 19780214, , daniel, gorecki, nsw, kundabung, 3179, 54, alfred hill drive, , 612 01458821, 6569134, 3, NoRole
rec-73-dup-0, eng, m, 37, 19800313, , paily, christopherson, ns, ckymea bai, 3175, 11, hkins cresent, , 2 57979035, 4952767, 0, NoRole
rec-32-org,   chi, , 36, 19810117, , luke, chat, vic, south maclean, 3390, 8, gymkhana road, , 08 80242899, 7532162, 8, NoRole
rec-489-dup-4, , , 29, 19881121, , kayyswy, michelmore, tas, petchdzvbay, 2620, 10, fullagarcrescent, cranbrook, 07 63928994, 4254945, 7, NoRole
rec-418-org,   pol, f, 34, 19830529, mr, jayden, bachleda, sa, whyalla jenkins, 4157, 41, horrocks street, , 07 52078301, 1349244, 6, NoRole
rec-158-org,   vie, f, 32, 19850411, ms, john, , nsw, girilambone, 3555, 56, bonython street, hillside farm, 2 74259256, 3498462, 1, NoRole
rec-224-dup-2, , f, 24, 19931010, , alyjsa, hit, , kellyfill, 3140, 9, kovaheur street, box-on, 07 90226561, 6312008, 4, NoRole
rec-487-org,   eng, m, 38, 19790629, , ruby, paulson, qld, cooroibah, 2731, 21, sculptor street, , 03 93106801, 9470213, 3, NoRole
rec-501-org,   dut, , , 19150305, , thomas, ferdinandus, qld, dromedary, 3444, 25, bunton place, mcivor park, 613 95518500, 1773687, 4, NoRole
rec-315-org,   eng, f, 21, 19960116, , bodhi, harley, tas, surges bay, 2794, 453, blake place, , 7 02665995, 1016968, 5, NoRole
rec-758-org,   ira, f, 36, , , maya, , vic, sorrento, , 3, hansen circuit, , 08 30123946, 8989842, 2, NoRole
rec-11-org,   usa, f, , 19560409, , imogen, townsend, vic, bruthen, 3115, 57, rounsevell street, rich meadows, 03 22647434, 7057525, 4, NoRole
rec-810-dup-1, eng, , 32, 19850807, dr, , clarkson, , kaperti, 4849, 17, dunoon street, sentral koast vaiah, 03 21659119, 2649907, 4, NoRole
rec-523-org,   sri, , , 19600620, , latham, liyanage, nsw, elwood, 3041, 18, weetman place, , 612 47114580, 4446691, 3, NoRole
rec-862-org,   eng, f, 30, 19870413, , emiily, butcher, nsw, boat harbour, 4655, 2, bingham circuit, , 02 73584518, 9515497, 2, NoRole
rec-423-dup-1, ind, m, , 19330521, , teakkin, , za, ul pai, 4725, 14, learmont drive, , 07 92424515, 9444448, 0, NoRole
rec-348-dup-0, usa, f, 27, , , tomaztt, upeah, njw, keith hall, 4101, 17, , , 02 14014959, 9496455, 7, NoRole
rec-414-org,   unk, f, 37, 19800117, , hugh, streckfuss, vic, wiseleigh, 2450, 9, mccarthy road, narina retirement, 8 54178605, 2325088, 8, NoRole
rec-64-org,   usa, m, , 19821121, mr, lachlan, wilkerson, nsw, rous mill, 4179, 113, baird place, , 2 23744641, 4396739, 8, NoRole
rec-938-org,   eng, m, 36, 19810426, , spyke, kipling, sa, kimba, 3030, 20, mainwaring rich circuit, , 617 14003364, 7849343, 4, NoRole
rec-879-dup-4, unk, f, 25, 19921115, mr, cckyl, scjum, vic, noorat, 4218, 111, jaunsy kort, winterwood, 04 02295583, 9363838, 5, NoRole
rec-893-dup-3, eng, f, 30, 19870304, hon, joshua, broadbent, nsw, dapto, 6010, 61, heddobaace, herbert river, 02 27026182, 3283926, 2, NoRole
rec-68-org,   pak, f, , 19540120, , lachlan, osmani, vic, morwell, 4814, 4, coglin place, spylaw farm, 8 59821420, 5365530, 1, NoRole
rec-254-org,   dan, f, 38, 19790814, , oliver, blach, tas, don, 5049, 31, captain cook crescent, jeran, 07 44053016, 1805591, 3, NoRole
rec-853-org,   eng, m, , 19650406, dr, imogen, reynell, nt, gray, 2099, 36, ireland place, , 03 35596006, 9683604, 2, NoRole
rec-371-org,   eng, f, , 19111230, , stephanie, hope, vic, werribee, 6052, 2, boehm close, , 8 58517533, 2932826, 2, NoRole
rec-528-org,   unk, f, , 19640928, , rebecca, strangway, vic, wandong, 3047, 3, lofty close, burtons lookout, 8 80308409, 1820182, 1, NoRole
rec-293-org,   eng, f, 29, 19881020, mr, kayla, mcentire, sa, trinity gardens, 4350, 9, barraclough crescent, greenbank, , 7915522, 6, NoRole
rec-267-org,   dut, f, , 19350324, , chloe, benda, wa, hopeland, 4610, 17, matcham place, sec 1, 08 41575083, 7888834, 9, NoRole
rec-269-org,   usa, m, 30, 19870630, , joel, kane, tas, mangana, 2340, 78, easterbrook place, , 07 33395949, 1549902, 3, NoRole
rec-700-org,   usa, f, 32, 19850108, , jessica, price, qld, cowley beach, 5044, 4, davies place, , 613 35967772, 3040605, 0, NoRole
rec-521-org,   usa, f, , 19151109, , naomi, burton, qld, eagleby, 6147, 220, dennis street, canberra hse, 3 30360236, 7253634, 8, NoRole
rec-126-org,   eng, f, 20, 19970414, hon, olivia, paterson, vic, bittern, 3198, 9, satchell place, stonehenge, 618 32170357, 4683036, 5, NoRole
rec-921-org,   pak, f, 31, 19861117, mr, jessica, dhagar, vic, willung south, 3051, 3, hackett garden, yaraan, 08 56337318, 9563365, 9, NoRole
rec-692-org,   rus, f, 25, 19920829, , joshua, karpenko, vic, rosanna, 2906, 2, ferrier place, , 08 29379654, 1222041, 6, NoRole
rec-248-org,   eng, f, 23, , , mia, walmsley, nsw, dunoon, 4350, 33, mcbryde crescent, mirani, 02 91610694, 1437648, 2, NoRole
rec-58-org,   , , 13, , mr, alessandria, morrison, nsw, haberfield, 2306, 30, kudyera place, kittisford, 612 00226984, 7741535, 1, NoRole
rec-899-org,   unk, f, 25, 19921223, ms, , scoby, sa, gawler belt, 6061, 56, benson crescent, athlone, 07 20203377, 2249101, 3, NoRole
rec-61-org,   usa, m, 30, 19870123, mr, jye, clark, sa, henley beach south, 7018, 66, cassinia street, , 07 96891300, 4956146, 9, NoRole
rec-911-org,   eng, , 35, 19820328, dr, renee, hampson, nsw, basin view, 2107, 12, wylie street, yarrambah, 2 66374102, 3046384, 3, NoRole
rec-348-org,   usa, f, 27, , , thomas, hooper, nsw, keith hall, 4101, 17, , , 02 14014959, 9496455, 7, NoRole
rec-348-dup-2, usa, f, 27, , , dhomaz, upea, nsw, keit all, 4101, 17, , , 02 14014959, 9496455, 7, NoRole
rec-534-org,   swe, , 31, 19860405, ms, amelia, bergqvist, qld, glen echo, 2263, 10, colmer street, , 613 92867531, 7854253, 7, NoRole
rec-13-org,   abo, f, 32, 19850203, , brandon, yunipingu, qld, moores pocket, 2193, 107, wolff crescent, tarralain, 03 98650337, 2884944, 8, NoRole
rec-690-org,   unk, f, 22, 19951024, dr, jarryd, abbetmeyer, nsw, mount victoria, 2770, 64, glencross street, wagunyah, 02 17389672, 3809248, 7, NoRole
rec-24-org,   eng, f, 23, 19941213, ms, erin, kipling, nsw, bossley park, 6163, 53, julia flynn avenue, evenstar, 02 13713893, 2466132, 2, NoRole
rec-879-dup-7, unk, f, 25, 19921115, mr, kkyl, scjum, fic, nurat, 4218, 111, jauncey court, inteahwood, 04 02295583, 9363838, 5, NoRole
rec-251-dup-6, dan, , 26, 19910121, , goldbaek, jwshw, vic, arthurs vreek, 6065, 1402, augustus close, , 8 35025808, 2756481, 1, NoRole
rec-498-org,   fin, , 26, , ms, lily, hattunen, qld, orange creek, 4520, 40, hampton circuit, ellanbah, 613 47510154, 2258672, 8, NoRole
rec-17-org,   unk, f, 29, 19880129, , andrew, aakre, vic, russells bridge, 2156, , jagara street, bara valley, 618 74495133, 7793303, 6, NoRole
rec-376-org,   usa, f, , 19071204, , samuel, farrell, nsw, redfern, 2152, 3, galali place, , 02 52202188, 6662402, 6, NoRole
rec-754-org,   chi, f, 30, 19870408, , blake, nan, qld, barellan point, 2072, 30, bellchambers crescent, , 613 45361554, 2056050, 1, NoRole
rec-230-org,   ind, f, 27, 19901106, , robbie, maudgalya, sa, carrieton, 3280, 78, mckail crescent, , 7 77348623, 2724253, 6, NoRole
rec-792-org,   tha, f, , 19700827, , sophie, prinya, sa, hawthorndene, 6112, 14, farrelly close, , 07 38108364, 5066493, 5, NoRole
rec-924-org,   usa, f, , 19000308, , kyle, tucker, nsw, liverpool, 6168, 97, dawes street, wandana, 02 22182278, 6036124, 4, NoRole
rec-610-org,   ser, f, 28, 19890720, , thomas, teresak, qld, fordsdale, 3995, 63, christmas street, berkeley vlge, 613 98936703, 9340179, 9, NoRole
rec-511-org,   usa, f, 37, 19801128, , james, gilmore, wa, hithergreen, 2101, 15, badimara street, , 08 49896580, 3776747, 0, NoRole
rec-161-org,   ind, f, 32, 19850129, , bailey, panjabi, vic, elliminyt, 5280, 6, birnie place, mafeking, 08 04968916, 7410323, 5, NoRole
rec-982-org,   chi, f, 9, 20080207, , lauren, tan, nsw, botany, 4051, 23, harding street, , 2 03691334, 5014048, 6, NoRole
rec-423-dup-6, ind, m, , 19330521, , deakin, , sa, wul pai, 4725, 14, leaamondh drife, , 07 92424515, 9444448, 0, NoRole
