id,5662,   usa, f, , 19520101, mr, ethan, fry, sa, evandale, 3551, 88, grove place, bobblegigbie, 07 20984124, 1295928, 4, norole
46,6382,   ind, f, 23, 19930721, , , chawd, vic, st albans park, 4069, 19, crozier circuit, , 08 43183709, 3668676, 4, norole
47,810,   ind, f, 32, 19840814, , zali, khattar, nsw, wattamolla, 3180, 101, dookie street, , 612 55143787, 8314893, 1, norole
48,9437,   eng, m, 35, , , joel, rowntree, nsw, forest lodge, 2204, 10, boolee street, , 02 85539462, 3894842, 8, norole
49,71,   por, , 24, 19920410, dr, oliver, vilela, nsw, molong, 7010, 26, jarvis place, , 2 84414973, 8365750, 5, norole
50,7197,   , m, 23, 19931211, ms, lukas, nguyen, nsw, clybucca, 3065, 69, cossington smith crescent, turf club frost, 02 11874732, 8795710, 4, norole
51,3249, tha, f, , 19900423, pfc, s   m, sophonpa ich, vic, dar l n g, 2759, 106, namadgi circuit, , 618 6592 013, 7353 466, 9, norole
52,2616,   unk, f, 27, 19891001, ms, charlie, strainij, wa, greenbushes, 3082, 21, macrossan crescent, , 08 24808295, 5884694, 7, norole
53,8714,   usa, f, 33, 19830920, dr, peter, holland, vic, lysterfield south, 4850, 112, weingarth street, spring grove, , 2671700, 2, norole
54,5526,   usa, m, 13, 20030927, , , palmer, , kotara south, 4017, 55, haines street, johamenline, 03 14601395, 7482850, 2, norole
55,7771,   chi, f, 36, 19800409, , tarnee, wo, vic, bayles, 7321, 10, rich street, dodonaea wing, 8 37747574, 4716902, 4, norole
56,1189,   unk, f, 25, 19910710, , emiily, scjum, , newmarket, 2761, 27, ashburton circuit, , 08 30018717, 3634421, 0, norole
57,1607,   dut, , 35, 19810901, , jack, westhuizen, qld, kangaroo point, 5048, 48, bromell circuit, pindara medical centre, 3 74725452, 4989920, 1, norole
58,6161,   unk, f, 31, , mr, , abat, wa, beachlands, 3690, 45, blakey close, , 08 07406909, 5965062, 8, norole
59,403,   ser, f, 31, 19851023, ms, tahnee, roksandic, nsw, mount druitt, 2536, 23, catani place, ainslie house, 612 09394290, 3813263, 6, norole
60,6268,   usa, , , 19560509, , madeleine, knapp, vic, dargo, , 23, gunning place, , 08 31762827, 3073464, 3, norole
61,4090, eng, f, 8, , , lukaz, lman, nsw, rozeader, 5344, 38, maxworthy sttreet, , 2 95066220, 4673051, 0, norole
62,7319,   afr, f, 34, 19820610, , scott, ansah, nsw, warialda, 3136, 11, chillagoe street, the willows, 02 63692631, 9241065, 5, norole
63,1950,   unk, f, 30, 19860731, , richard, sckel, nsw, newtown, 4210, 8, majura road, keith payne hstl, 612 84941275, 2016314, 1, norole
64,2862,   jap, m, 31, 19850827, , mary, fujimaki, vic, lismore, 2067, 14, lavery place, , 08 71096585, 3605171, 7, norole
65,1034,   dan, f, 28, 19880526, , jake, raaby, nsw, bundeena, 4216, 6, faucett street, rp 729, 612 57989210, 7289977, 9, norole
66,8688,   usa, f, 29, 19871029, mr, joshua, meyers, nsw, batehaven, 3216, 17, caldwell street, , 612 36619417, 3697613, 6, norole
67,460,   jap, f, 11, 20050615, , kane, nawabe, qld, laidley heights, 3224, 10, schinckel place, , 3 83829481, 5698051, 1, norole
68,5461,   usa, f, 28, 19880408, , rosie, higgins, wa, rosa glen, 3083, 2, hutchison crescent, , 08 05450100, 4071568, 9, norole
69,7766,   cze, f, , 19960701, ms, jack, majerski, wa, paynesville, 2042, 10, shumack street, , 8 08335339, 8544857, 7, norole
70,631,   afr, , 32, 19840717, ms, charlie, asare, nsw, fairy meadow, 5267, 3, pridham street, corandirk, 612 38027647, 7744649, 9, norole
71,8681,   usa, f, 33, 19830324, , emiily, haley, sa, bugle ranges, 6021, 8, halfrey circuit, , , 1012976, 8, norole
72,4793,   tur, f, 35, 19810929, dr, ryan, balian, nsw, mount view, 3174, 7, wilkins street, , 02 01981738, 2905274, 5, norole
73,3105-dup-2, usa, , 28, 19880 0 , , ja sp r, cha ey, nsw, , 3825, 1844, cawker place, cambooya, 612404 84004, 9206090, 2, norole
74,9774,   dut, m, , , mr, lily, lubertson, sa, streaky bay, 2540, 17, chuculba crescent, , 07 03578361, 6773770, 4, norole
75,1612,   ira, m, , 19121014, , sophie, salamat, , quilpie, 6030, 159, lambell close, , , 8278280, 6, norole
76,8955,   usa, f, 30, 19860720, dr, michael, cross, , pascoe vale south, 6028, 16, lowanna street, , 04 44884358, 5492142, 4, norole
77,9634,   chi, m, 13, 20030108, , tiffany, leh, nsw, avoca beach, 3361, 65, meyers place, cypress garden, 612 12274961, 7944619, 7, norole
78,254,   usa, m, 19, 19970814, , alexandra, merritt, vic, princetown, 4053, 6, sidaway street, craiglee station, 618 77811131, 4385476, 9, norole
79,15,   chi, m, 22, 19941109, ms, hayden, jan, qld, cluden, 2566, 49, coxen street, , 03 89786991, 5034754, 0, norole
80,9769,   abo, f, 39, 19770303, ms, jessica, goolagong, nsw, englorie park, 2132, 144, hedland circuit, , 02 12196407, 2458698, 8, norole
81,8865,   usa, f, , 19031104, ms, alice, jensen, nsw, eveleigh, 4131, 1, tooma place, bindaree, 612 14518732, 6760653, 9, norole
82,8251,   ser, f, 33, 19830320, , jade, mihalic, vic, darlimurla, 6012, 29, lappin place, chez-nous, 08 06648155, 2755434, 8, norole
83,2247,   eng, m, 27, 19890524, , jessica, archer, qld, sunrise beach, 2110, 93, aston crescent, kawana shoppingworld medical centre, 3 53926385, 1477680, 9, norole
84,2485,   ind, f, , 19980825, sgt, alexandra, chandrark, wa, toolibin, 2213, 55, wambool street, , 04 43404726, 9828604, 7, norole
85,6183, unk, , 27, 1989 0802, ms, uane  a, abbatj sta, ql  , runnymede, 4s67, 16, pinkstone place, , , 8749751, 8, norole
86,8207-dup-1, ser, f, 2 7, 19891110, , harr son, habazin, , logan h lme, 311 , 5, albermar   place, , 07 70214376, 9959613, 0, norole
87,3357,   eng, f, , 19840123, , hannah, , nsw, yeoval, 4211, 28, sturgeon street, , 02 74635912, 8822452, 5, norole
88,5619,   chi, , 28, 19880323, , hayden, jing, wa, lake deborah, 4285, 3, cambridge street, talgarth, 8 25373811, 5426561, 2, norole
89,2933,   usa, m, 27, 19890430, , michael, maynard, , toowoomba, 5025, 9, templeton street, tarlinup, 08 12372268, 5286683, 4, norole
90,9980,   ser, , 26, 19901129, , lee, yecmenica, sa, auburn, 3375, 13, mcginness street, wallaces ck, 617 62943560, 8508959, 2, norole
91,5856,   unk, m, , 19430212, , finn, scofield, qld, cypress gardens, 2290, 5, currong street, , , 7448367, 1, norole
92,133,   chi, , 30, 19860810, , lachlan, yei, wa, lathlain, 3280, 115, badgery street, , 03 33221024, 3727753, 3, norole
93,8811,   rus, , 34, 19820104, , matisse, zakhodko, vic, porepunkah, 4171, 3, newlop street, , 618 30812238, 4142629, 3, norole
94,7032,   eng, , , 19391130, , ka, booner, nsw, kelvin, 2094, 15, steffanoni circuit, , 02 41337309, 7837645, 8, norole
95,5639,   usa, f, 39, 19770102, , joshua, short, sa, peake, 4380, 125, appel crescent, retirement village, 617 45553679, 6201173, 7, norole
96,3071,   eng, f, 27, 19890524, mr, sara, hodson, nsw, bowen mountain, 3561, 25, throssell street, , 02 50079897, 7072864, 5, norole
97,1425,   unk, f, 23, 19930406, , isabella, scorsone, wa, mooliabeenee, 4127, 25, antill street, , 02 59214249, 6038376, 5, norole
98,9428,   unk, f, 32, , pfc, taalia, strainij, wa, massey bay, 4022, 9, learmonth drive, , 8 10236226, 1927126, 4, norole
99,4835,   afg, , , 19590312, , emma, tarin, sa, parilla, 4101, 20, wylie street, rooganore, 7 70099995, 2682197, 5, norole
100,635,   unk, , 43, 19731203, mr, connor, , act, parliament house, 2567, 42, weber place, , 612 35328510, 5046093, 9, norole
101,4996, eng, , 37, 19671226, , lochlan, herbert, vic, carwarp, 2065, 238, esau place, , 8 52735080, 7797170, 2, norole
102,5047,   chi, , , 19160913, , madison, fen, vic, neerim north, 5158, 93, kernot street, golambio cottage, 08 10745296, 9890347, 1, norole
103,4598,   eng, m, 30, 19860716, mr, flynn, hooker, vic, coromandel valley, 2011, 69, bargang crescent, , , 8290596, 6, norole
104,1960,   eng, f, 23, 19930907, ms, jakob, josephson, , hanwood, 2191, 325, enderby street, vermont ret estate, 08 20005541, 3557333, 8, norole
105,941,   ira, f, 21, 19950606, , eden, saberi, , tweed heads, 0830, 8, getting crescent, , , 3552921, 3, norole
106,8520,   eng, f, 9, 20070423, , lauren, mathaton, wa, naval base, 4109, 161, watterson place, , 618 42219993, 6453194, 4, norole
107,7055,   unk, , 28, 19880227, ms, joshua, stranger, vic, southbank, 2294, 254, gula place, , 618 85730523, 1717441, 4, norole
108,4439,   ind, , 46, 19701017, , georgia, swarnkar, wa, onslow, 2278, 30, mainwaring rich circuit, , 08 34254463, 5907151, 9, norole
109,9956,   usa, m, 33, 19831124, rev, kaitlyn, crawford, vic, lavers hill, 3851, 154, larakia street, ridge view park, 618 90921027, 6506393, 7, norole
110,2250,   jap, f, 24, 19920521, , christopher, yoshikawa, qld, eungella, 2011, 590, tazewell circuit, location 6656, 613 96661562, 2445162, 1, norole
111,6388,   usa, f, 28, 19881008, , taylah, lowery, qld, richmond, 4216, 49, tyson street, , 3 42081567, 1779134, 0, norole
112,3406,   usa, m, 36, 19800128, , teagan, black, , kingsford, 3690, 3, constitution avenue, st john of god hospital, 07 05635373, 4119351, 3, norole
113,7821,   eng, m, 10, 20060222, , lily, espenson, wa, smith brook, 3942, 7, lucy gullett circuit, , 08 48171118, 2910532, 7, norole
114,5577,   ara, m, , 19921215, pfc, carla, azizah, , nunawading, 6110, 3, bragg street, kalang, 07 82899708, 8507926, 7, norole
115,2069,   dan, f, , 19030927, , sean, toefting, vic, camberwell north, 4865, 43, spica street, , 8 86921160, 8543350, 0, norole
116,6548,   ind, , 22, 19940725, ms, caleb, pant, vic, lismore, 4128, 18, dutton street, crosslands, 08 48719719, 6439206, 3, norole
117,2329,   usa, , 32, 19840326, , matthew, leung, sa, kangarilla, 6210, 16, , , 617 62903082, 5347206, 6, norole
118,9272,   ind, f, , 19740710, , georgia, soundar, qld, gindoran, 3227, 43, currie crescent, fairlight, , 8782052, 0, norole
119,9403, unk, , 30, 19860226, , sascha, sclafani, vic, northge |ong, 21 , 3, david st reet, unme a, 08 57311740, 688036 8, 9, norole
120,8799,   wel, f, 31, 19850807, , benjamin, lello, qld, eagleby, 5073, 19, kulgera street, , 3 06085128, 5485052, 3, norole
121,1839-dup-1, eng, f, , 19990803, , isabelu, quigg, , magill, 6104, 23, wallarooroad, , 02 73218457, 7558197, 6, norole
122,6149-dup-2, eng, f, 24, 19920526, mr, olivia, , vic, stuart mill, 4053, 9, chauncwcrrsent, mornijgton, 08 82552770, 9838946, 8, norole
123,9290,   unk, , , 19600725, , jayden, strapp, act, tuggeranong distribution centre, 2462, 12, parkhill street, wildwoods, , 4238188, 4, norole
124,4605,   unk, , , 19350228, ms, renai, strahn, wa, walgoolan, 2620, 14, sturt avenue, , 618 21091993, 5497515, 0, norole
125,6251,   unk, f, 21, 19951018, , isabella, stratou, vic, mitcham, 4825, 52, archer street, meadows meade, 08 36783321, 2708773, 8, norole
126,8758,   eng, m, 22, 19940919, , ethan, rigby, nsw, crowdy head, 4865, 39, gillespie street, , 2 66095291, 4806830, 2, norole
127,8494,   usa, f, 28, 19880913, ms, samuel, parker, , howqua, 2085, 12, tarana street, , 08 37605278, 1048533, 9, norole
128,8820,   abo, f, 21, 19951001, , reece, marika, qld, park avenue, 3183, 508, bibby place, , 3 35489422, 2168272, 4, norole
129,1964, usa, f, , 19740666, , travis, li, sa, brukdnna, 3639, 2, allchin circuit, , , 9461639, 8, norole
130,8787,   usa, , 34, 19820722, , alana, avila, nsw, ettalong, 3551, 31, kesteven street, pine hill, 2 35014075, 1421289, 2, norole
131,4158-dup-1, eng, m, 30, 19861125, , daniele, normanson, vic, duen, 2258, 4, ligt sttrit, klendower, 8 29288588, 2787470, 8, norole
132,9751,   eng, , , 19720615, ms, talia, tennyson, vic, diamond creek, 2045, 108, barada crescent, steen heuvel, 618 49270223, 7187863, 3, norole
133,221, unk, v, 28, 19880513, mr, bensamin, scofielt, , cuma, 3690, , hugh mckay crestcent, jea orss, 03 08158819, 6899079, 4, norole
134,2160,   usa, f, 23, 19931007, ms, jack, huffman, vic, hill end, 3042, 10, padbury street, , 04 57766754, 5694522, 4, norole
135,7125-dup-3, eng, v, 25, 19911012, ms, zdara, rayn, qld, bellbird park, 2017, 47, favel placke, , 3 01910287, 9308343, 0, norole
136,2934,   chi, f, 30, 19860101, , alysha, thum, nsw, coffs harbour, 2076, 81, torrens street, wexford, 612 06188496, 2787780, 5, norole
137,822,   usa, f, 29, 19871203, , liam, james, tas, southport, 4114, 112, ballumbir street, , 617 65005587, 2204633, 1, norole
138,9022,   , f, 28, 19881119, , jayden, haggett, , willagee, 2040, 4, currong street, , 07 63744103, 3265994, 8, norole
139,217,   unk, m, 26, 19901221, , kate, sclafani, nsw, hackham west, 2478, 150, tullaroop street, , 2 68522552, 9355962, 4, norole
140,8581,   unk, , 32, 19840724, mr, brock, strangway, qld, coffs harbour, 3022, 17, agonis close, eventide homes, 613 03716638, 7203802, 2, norole
141,9738,   eng, m, 24, 19920228, , hayden, hardie, wa, hamel, , 5, greenough circuit, , 8 63370286, 9616752, 2, norole
142,5787,   chi, f, , 19740601, pfc, nicholas, zhou, wa, salter point, 0810, 4, nina jones crescent, , 08 19121256, 8158119, 2, norole
143,2446,   usa, f, 33, , , sophie, higgins, sa, salisbury heights, 3174, 39, sutton place, redwood village, 07 90008714, 3331295, 6, norole
144,9643,   unk, f, 27, 19891007, , alana, strangway, nsw, lakemba, 4740, 33, jardine street, booligal, 03 20757889, 5988982, 0, norole
145,5134,   chi, f, , 19870822, dr, makenzie, phan, vic, neerim junction, 3928, 16, tunney crescent, , 08 13541502, 1691163, 2, norole
146,3618,   usa, , 34, 19821217, , leon, glover, , north hobart, 5352, 11, namatjira drive, apmnt 501, 02 18573195, 4441941, 6, norole
147,2671,   unk, f, 11, 20050706, , bailey, abat, nsw, bellambi, 5076, 2, bannister garden, , 02 89334751, 1837007, 5, norole
148,3105, usa, , 28, 19880207, , ja s pe, chaney, nsw, , 3825, 1844, cawker place, cambo o y, 612 40 8 4004, 92060 0, 2, norole
149,1048,   eng, f, 34, , dr, lauren, bonher, qld, causeway lake, 4680, 29, jinka street, jacana park, 03 46730801, 7629665, 7, norole
150,4267,   dan, f, 23, 19930506, , alexander, most, sa, largs north, 2615, 21, long plain road, the falls, 617 00488558, 9806990, 8, norole
151,3136,   eng, m, 36, 19801018, mr, mattheo, hilton, vic, franklinford, 2032, 10, beetaloo street, , 08 30349972, 9700689, 1, norole
152,2683,   cze, f, 25, 19910609, mr, gracie, mirda, qld, marburg, 3023, 286, chapman street, , 613 79099950, 3788353, 6, norole
153,8610,   chi, f, 42, 19741130, , michael, hoong, vic, barwon downs, 3192, 17, burkitt street, , 8 25668597, 5498097, 0, norole
154,5605,   ind, f, 28, 19881022, dr, caresse, mamtani, qld, peek-a-doo, 2759, 8, alroy circuit, upper flat, 3 89341979, 8986123, 2, norole
155,4502,   unk, f, , 19210405, , charlotte, scollard, nsw, abbotsbury, 4343, 31, moodie street, , 2 74645369, 9402180, 6, norole
156,4563,   usa, f, , 19750527, dr, raquel, montoya, qld, silver ridge, 7052, 22, callide street, student village, 08 22319604, 3492837, 7, norole
157,7579,   usa, , 30, , ms, jake, albert, vic, jamieson, 2360, 25, serpentine street, apt 312 the rock wall, 08 02085433, 9571210, 1, norole
158,987,   wel, f, , 19340312, , teagan, annoil, wa, west swan, 6108, 17, burara crescent, , 618 23738821, 1431086, 1, norole
159,781,   eng, f, , , ms, riley, christisen, nsw, hamilton, 4570, 20, harcourt street, low round hill, 612 85887802, 9440688, 9, norole
160,9638,   chi, , , 19630502, ms, tristan, hsaio, nsw, callaghan, 5304, 75, menkens court, bonnie doon, 2 50514452, 2069736, 9, norole
161,1842,   chi, f, 33, , ms, lukas, szu, vic, hopetoun, 5046, 27, glover street, , 08 22699848, 4908190, 1, norole
162,7963,   usa, f, , 19121127, , zac, clark, vic, eddington, 6721, 34, edge place, , 8 49094872, 4604519, 0, norole
163,2009,   eng, f, , 19740908, ms, benjamin, babcoke, nsw, cooks hill, 4051, 71, owen crescent, , 612 70027075, 3559454, 2, norole
164,1574,   usa, , , 19760527, , pearson, shaffer, sa, wharminda, 0810, 8, narrabundah lane, , 7 76884837, 8798970, 5, norole
165,5486,   chi, m, 34, 19820831, ms, mitchell, cheung, , greenacre, 5007, 521, arunta street, , 03 01704723, 4958412, 6, norole
166,3537,   eng, m, 30, 19860601, , marco, cookson, tas, lunawanna, 6148, 25, dominion circuit, kangaroo gnd, 08 06747736, 5089621, 5, norole
167,4851,   unk, , 30, 19861029, , isabella, aaron, qld, heatley, 4066, 9, , , 07 58543056, 4142273, 9, norole
168,5168,   nor, f, 27, 19890328, ms, brooke, bjone, nsw, nethercote, 2264, 40, tarrant crescent, , 02 47260388, 8356920, 5, norole
169,478,   eng, f, 20, 19960410, , cain, wescott, wa, nunile, 2481, 81, fitzalan street, , 08 82305564, 4144240, 6, norole
170,6696-dup-2, unk, , 20, 19960418, mr, ckalum, skollard, vik, guys hil, 3319, 52, brigalow street, , 618 90682552, 4424055, 6, norole
171,1065,   ind, f, 33, 19830226, ms, xavier, semerkant, nsw, rouse hill, , 49, pemulwuy street, , 2 12082772, 6169861, 9, norole
172,4831,   usa, f, 25, 19910607, , lily, rogers, vic, clayton, 3190, 1, biffin street, , 618 81003023, 9524047, 4, norole
173,858,   usa, f, 36, 19801111, ms, emiily, roth, nsw, williamtown, 4101, 8, crick place, , 612 19053065, 7822079, 2, norole
174,2201,   unk, f, 29, 19870820, , adela, abbondandola, vic, chepstowe, 4300, 10, hampton circuit, meebery, 08 29827346, 6757938, 5, norole
175,6776,   pol, f, 28, 19881008, , emiily, bojcun, nsw, balgownie, 6150, 36, companion crescent, , 02 35264807, 1105492, 5, norole
176,7843,   chi, , 36, 19800616, , macy, tsu, qld, birchgrove, 4171, 39, keverstone circuit, , , 6631137, 8, norole
177,5862-dup-1, usa, f, 11, 20050903, ms, dyla n, frank , , longre ach, 25  , 7, coan street, , 0223872347, l971303, 6, norole
178,5426,   tur, , 35, 19810402, , keeley, ilker, nsw, kincumber, 3166, 5, inglis place, brentwood vlge, 02 21033161, 5970261, 7, norole
179,4197,   unk, , 30, 19860111, , megan, strahn, nsw, chiswick, 2842, 9, woralul street, vivigani, 08 97332622, 6778678, 8, norole
180,4244,   dut, f, 28, 19880510, ms, charlotte, dhooghe, wa, benger, 2583, 49, hopetoun circuit, , 8 78420809, 4818333, 9, norole
181,6243,   ind, f, 29, 19870624, , damien, ragunathan, qld, old cooranga, 4123, 53, everard street, , 613 53977369, 9223026, 8, norole
182,8159,   chi, f, 29, 19870208, , coby, ming, vic, yanac, 2200, 20, , nuffield village, 03 28333873, 8360171, 4, norole
183,6420,   ger, , , 19440410, , madeleine, vogel, wa, yarawindah, 6056, 42, burrendong street, , 08 79921616, 2885966, 0, norole
184,3035,   cze, f, 36, 19800921, , tyrone, suchopcek, , currambine, 3191, 3, warrambool close, , 03 47006068, 8461851, 4, norole
185,4522,   eng, , 10, 20060410, ms, liam, royceston, vic, koroit, 6010, 363, gascoyne circuit, , 8 22385350, 3558102, 9, norole
186,5603,   chi, f, 32, 19840128, ms, charlotte, kuet, qld, braemore, 2220, 1, cutlack street, , 3 77385972, 2661368, 3, norole
187,546,   usa, , 35, 19811209, ms, zack, joseph, wa, watercarrin, 4880, 24, fairbridge crescent, , 8 33550163, 3929510, 4, norole
188,6606,   eng, f, 40, 19760820, ms, stirling, hawk, sa, krondorf, 2011, 61, vasey crescent, , 08 15322277, 8386715, 0, norole
189,7236,   usa, , 30, 19860213, , dylan, jarvis, wa, crossman, 6020, 61, morgan crescent, flt 54, 08 13342480, 1698823, 5, norole
190,4375,   pol, , 28, 19880206, , hanna, duglosz, qld, bungalow, 4226, 8, gilbert street, jarroo, 03 11226929, 9980690, 2, norole
191,7648,   chi, m, , 19640830, , jett, geng, vic, barrabool, 3141, 119, lachlan street, , , 8168877, 7, norole
192,9606,   eng, , , 19840219, , joel, hopson, sa, norwood, 5097, 25, erldunda circuit, , 617 38188992, 2815896, 7, norole
193,2343,   pol, , 24, 19921021, ms, fiona, abratkiewicz, qld, molendinar, 2346, 164, scarfe close, , 03 30390223, 9334714, 4, norole
194,5006, chi, f, 30, 19860615, , jacju, yen, , , 2622, 58, broadby close, , 03 49504232, 8761331, 8, norole
195,9432,   nor, m, 27, , , hugo, aagheim, nsw, silverdale, 2090, 15, benny place, , 612 50970328, 9574388, 7, norole
196,1733,   unk, m, 25, 19910317, , megan, abbatista, nsw, jilliby, 2040, 2, massie place, , 02 45468130, 7860988, 4, norole
197,260,   , f, , 19051030, dr, tom, dixon, nsw, kotara south, 2263, 53, tatchell street, , 612 09881914, 4105221, 8, norole
198,66,   sri, f, , 19411229, , ebony, jayawardene, nsw, moonee beach, 4034, 49, carpenter close, , 2 34691550, 9702625, 6, norole
199,9696,   eng, , 34, 19821109, ms, daniel, styles, sa, northgate, 2153, 9, leven street, millard centre, 7 11777861, 8710037, 0, norole
200,368,   eng, , 30, 19860401, , kylee, goode, vic, thornbury, 2560, 82, dash crescent, , 8 52074028, 9786707, 6, norole
